name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,Name
Thomas Almeida,Thominhas,22,5,0,170.18,65.77,177.8,Southpaw,1991-07-31,4.84,43.0,4.93,61.0,0.17,14.0,75.0,0.0,thomas almeida
Geoff Neal,Handz of Steel,15,5,0,180.34,77.11,190.5,Southpaw,1990-08-28,5.22,50.0,5.6,58.0,0.51,44.0,87.0,0.1,geoff neal
Jutaro Nakao,,25,19,4,175.26,77.11,,Southpaw,1970-11-30,0.53,38.0,1.06,44.0,0.38,50.0,56.0,0.0,jutaro nakao
Gleison Tibau,,33,14,0,177.8,70.31,180.34,Southpaw,1983-10-07,1.95,31.0,2.51,63.0,4.08,53.0,92.0,0.8,gleison tibau
Windri Patilima,,8,1,0,167.64,70.31,180.34,Southpaw,1993-07-19,0.31,50.0,7.64,31.0,0.0,0.0,0.0,0.0,windri patilima
Jordan Griffin,Native Psycho,18,9,0,177.8,65.77,185.42,Southpaw,1990-02-28,2.52,46.0,3.02,50.0,1.45,35.0,42.0,1.9,jordan griffin
Bo Nickal,,5,0,0,185.42,83.91,193.04,Southpaw,1996-01-14,2.76,62.0,0.55,75.0,11.04,50.0,0.0,13.8,bo nickal
Montel Jackson,Quik,13,2,0,177.8,61.23,190.5,Southpaw,1992-04-24,3.36,53.0,1.41,64.0,3.42,71.0,69.0,0.3,montel jackson
Maiara Amanajas dos Santos,,7,3,0,165.1,52.16,,Southpaw,1987-07-11,5.53,35.0,24.47,33.0,0.0,0.0,100.0,0.0,maiara amanajas dos santos
Josh Shockman,The War Hammer,6,3,0,193.04,106.59,,Southpaw,1980-12-29,0.87,32.0,0.87,58.0,0.0,0.0,23.0,0.0,josh shockman
Gilles Arsene,,1,1,0,175.26,86.18,,Southpaw,,0.06,10.0,2.45,32.0,0.0,0.0,0.0,0.0,gilles arsene
Bendy Casimir,,20,14,2,165.1,65.77,,Southpaw,1980-06-10,0.74,27.0,3.42,54.0,0.0,0.0,100.0,0.0,bendy casimir
Andre Muniz,Sergipano,23,6,0,185.42,83.91,198.12,Southpaw,1990-02-17,2.17,50.0,2.03,53.0,2.97,40.0,35.0,1.5,andre muniz
Chad George,Savage,16,8,0,167.64,61.23,172.72,Southpaw,1982-04-30,1.26,50.0,1.11,65.0,3.08,46.0,0.0,1.3,chad george
Benson Henderson,Smooth,24,7,0,175.26,77.11,177.8,Southpaw,1983-11-16,2.93,45.0,1.79,63.0,2.4,45.0,63.0,0.8,benson henderson
Mark Hughes,,6,2,0,175.26,92.99,,Southpaw,1973-10-13,0.9,47.0,0.4,42.0,3.0,50.0,0.0,4.5,mark hughes
Caio Machado,Bigfoot,8,2,1,193.04,113.4,198.12,Southpaw,1994-07-20,6.57,64.0,1.87,64.0,0.0,0.0,82.0,0.0,caio machado
Trevin Jones,5 Star,13,10,0,170.18,61.23,177.8,Southpaw,1990-08-04,2.13,37.0,4.29,39.0,0.62,15.0,60.0,0.2,trevin jones
Darrell Horcher,The Saint,13,4,0,177.8,70.31,177.8,Southpaw,1987-07-28,2.05,44.0,4.21,39.0,0.35,50.0,47.0,0.7,darrell horcher
Alexandr Romanov,King Kong,17,2,0,187.96,118.84,190.5,Southpaw,1990-12-11,4.06,52.0,2.2,50.0,4.32,54.0,20.0,0.9,alexandr romanov
Vinicius Salvador,,14,6,0,170.18,56.7,177.8,Southpaw,1996-07-24,5.44,42.0,6.05,49.0,0.38,11.0,86.0,0.0,vinicius salvador
Dylan Salvador,,5,2,0,175.26,70.31,175.26,Southpaw,1993-05-20,4.34,37.0,11.57,46.0,0.0,0.0,0.0,0.0,dylan salvador
Derrick Noble,The Eraser,27,15,1,175.26,77.11,,Southpaw,1978-08-14,6.21,40.0,3.79,59.0,0.0,0.0,0.0,0.0,derrick noble
Nick Penner,The Quiet Assassin,11,3,0,193.04,92.99,,Southpaw,1980-03-26,1.25,30.0,4.6,38.0,0.0,0.0,40.0,0.0,nick penner
Norifumi Yamamoto,Kid,18,6,0,162.56,61.23,167.64,Southpaw,1977-03-15,2.09,45.0,2.01,57.0,0.41,22.0,45.0,0.0,norifumi yamamoto
Yuta Sasaki,Ulka,21,6,2,177.8,56.7,180.34,Southpaw,1989-10-07,2.16,41.0,2.5,50.0,3.03,43.0,41.0,1.2,yuta sasaki
Azat Maksum,Qazaq,17,0,0,170.18,56.7,177.8,Southpaw,1995-02-02,3.07,24.0,5.4,61.0,2.0,18.0,0.0,0.0,azat maksum
Marcelo Mello,,1,0,0,170.18,77.11,,Southpaw,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,marcelo mello
Akbarh Arreola,El Caballero,23,11,1,177.8,70.31,180.34,Southpaw,1983-01-14,2.32,45.0,4.01,56.0,1.07,100.0,33.0,0.4,akbarh arreola
Yoshihiro Nakao,Kiss,9,3,0,182.88,99.79,,Southpaw,1972-06-25,1.73,35.0,2.06,64.0,2.69,46.0,0.0,0.5,yoshihiro nakao
Joe Giannetti,,6,1,0,182.88,70.31,187.96,Southpaw,1995-07-05,1.93,38.0,2.8,40.0,1.0,16.0,0.0,0.0,joe giannetti
Rick Roufus,,4,6,0,182.88,93.89,,Southpaw,,0.53,33.0,1.06,33.0,0.0,0.0,50.0,0.0,rick roufus
Sheldon Westcott,,10,3,1,185.42,77.11,180.34,Southpaw,1984-08-20,2.26,40.0,3.73,37.0,3.23,37.0,14.0,0.0,sheldon westcott
Gina Mazany,Danger,7,6,0,167.64,56.7,172.72,Southpaw,1988-08-19,3.73,50.0,3.52,50.0,4.34,52.0,33.0,0.2,gina mazany
Jinh Yu Frey,,11,10,0,160.02,52.16,165.1,Southpaw,1985-05-20,2.97,43.0,4.23,52.0,1.02,36.0,90.0,0.3,jinh yu frey
Sumudaerji,The Tibetan Eagle,16,5,0,172.72,56.7,182.88,Southpaw,1996-01-20,4.83,54.0,2.75,62.0,0.32,100.0,66.0,0.6,sumudaerji
Yusaku Kinoshita,,6,3,0,182.88,77.11,180.34,Southpaw,2000-08-21,4.65,50.0,5.12,51.0,0.0,0.0,50.0,0.0,yusaku kinoshita
Mando Gutierrez,El Toro,7,2,0,167.64,61.23,177.8,Southpaw,1997-02-24,0.8,75.0,1.33,50.0,1.0,100.0,40.0,1.0,mando gutierrez
Erik Koch,Phoenix,16,6,0,177.8,77.11,180.34,Southpaw,1988-10-04,2.33,42.0,2.82,47.0,1.02,42.0,81.0,1.0,erik koch
Chris Price,The Exorcist,19,4,0,187.96,83.91,,Southpaw,1982-11-09,1.44,66.0,2.59,48.0,0.0,0.0,33.0,2.2,chris price
Olivier Aubin-Mercier,The Canadian Gangster,11,5,0,175.26,70.31,177.8,Southpaw,1989-02-23,2.48,51.0,2.97,55.0,2.36,33.0,70.0,0.5,olivier aubin-mercier
William Gomis,Jaguar,13,2,0,182.88,65.77,185.42,Southpaw,1997-06-13,2.62,46.0,1.49,75.0,1.06,60.0,81.0,0.7,william gomis
Kron Gracie,,5,2,0,175.26,65.77,177.8,Southpaw,1988-07-11,3.74,44.0,6.82,53.0,0.47,25.0,0.0,0.5,kron gracie
Johny Hendricks,Bigg Rigg,18,8,0,175.26,83.91,175.26,Southpaw,1983-09-12,3.49,45.0,3.99,53.0,3.83,46.0,63.0,0.3,johny hendricks
Motonobu Tezuka,,28,12,7,170.18,61.23,,Southpaw,1987-08-29,0.87,23.0,2.8,51.0,1.5,11.0,0.0,0.5,motonobu tezuka
Danny Barlow,LeftHand2God,7,0,0,187.96,77.11,200.66,Southpaw,1995-08-02,12.15,57.0,5.32,61.0,0.0,0.0,0.0,0.0,danny barlow
Orlando Wiet,The Gladiator,1,5,0,177.8,77.11,,Southpaw,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,orlando wiet
